time to NEB,1i,1ii,4i,4ii,,1i,1ii,2i,2ii,3i,3ii,,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii
0,_pink_,_blue_,_brownDark_r,_blue_,,_pink_,_pink_,_blue_,_pink_,_blueDark_r,_blueDark_g,,_blueDark_g,_blueDark_r,_pink_,_pink_,,_brownDark_r,_brownDark_r,_pink_,_pink_,_pinkDark_,_blueDark_g,_blue_,_pink_,_brownDark_r,_pink_,_pink_
120,_brownDark_r,_brownDark_r,_brownDark_r,_blue_,,_pink_,_brownDark_g,_brownDark_g,_pink_,_blue_,_brownDark_r,,_pinkDark_,_blueDark_g,_pink_,_pink_,,_blueDark_r,_pink_,_blueDark_r,_pink_,_pinkDark_,_pink_,_pinkDark_,_blueDark_r,_blue_,_pink_,_brownDark_r
240,_pink_,_blueDark_r,_pink_,_pink_,,_blueDark_g,_blueDark_r,_blue_,_pink_,_pinkDark_,_blueDark_r,,_pink_,_blueDark_r,_pink_,_pink_,,_blue_,_pink_,_brownDark_r,_pink_,_blueDark_r,_pink_,_blueDark_g,_blue_,_blue_,_pink_,_brownDark_r
360,_blueDark_r,_blueDark_g,_blueDark_r,_pink_,,_pink_,_blueDark_r,_blueDark_g,_blueDark_r,_pink_,_blue_,,_pink_,_pink_,_brownDark_r,_pinkDark_,,_brownDark_r,_pinkDark_,_brownDark_r,_pink_,_pinkDark_,_pink_,_pink_,_pink_,_blueDark_r,_pink_,_blueDark_r
480,_pink_,_pinkDark_,_pink_,_pinkDark_,,_pink_,_blueDark_g,,_pink_,_brownDark_r,_blue_,,_pinkDark_,_pink_,_pink_,_blueDark_g,,_blueDark_r,_pinkDark_,_pink_,_pink_,_blue_,_pinkDark_,_pinkDark_,_pinkDark_,_pink_,_brownDark_g,_blueDark_g
600,_pink_,_blue_,_blueDark_r,_pink_,,_pinkDark_,_blueDark_r,_brownDark_g,_blue_g,_pink_,_blue_,,_pink_,_pink_,_brownDark_g,_pinkDark_,,_pink_,_pinkDark_,_pink_,_pinkDark_,_pink_,_pink_,_pink_,_pink_,_blueDark_r,,_pink_
720,_pinkDark_,_pinkDark_,_pink_,_blueDark_r,,,_pink_,_pinkDark_,_pink_,_pink_,_pink_,,_pink_,_pink_,_pink_,_pink_,,_pinkDark_,_pink_,_pinkDark_,_pinkDark_,_brownDark_r,_pinkDark_,_pink_,_pink_,_pink_,_pink_,_pinkDark_
840,_blueDark_r,_pinkDark_,,_blue_,,,_pink_,_pink_,_pink_,_pink_,_pinkDark_,,_pink_,_pink_,_pinkDark_,_pinkDark_,,_pink_,_blueDark_r,_pinkDark_,_pink_,_pink_,_blueDark_r,_blueDark_r,,,_pink_,_pink_
960,_blueDark_r,_pinkDark_,,_blue_,,,_pinkDark_,,_pinkDark_,_pink_,,,_pink_,,_blueDark_r,_pink_,,_blueDark_g,_pink_,_brownDark_r,_pinkDark_,_pink_,_pink_,_blueDark_r,,,_pink_,_blueDark_r
1080,_blueDark_g,_blueDark_g,,_pink_,,,_pink_,_blue_,_pinkDark_,_blue_,,,_blueDark_r,,_pinkDark_,_pinkDark_,,_pink_,_pink_,_pinkDark_,_brownDark_r,_pinkDark_,_blueDark_r,_pink_,,,_pink_,_pinkDark_
1200,_blue_,_pink_,,_pinkDark_,,,_pinkDark_,_pinkDark_,_pink_,_pinkDark_,,,_pink_,,_blue_,_blueDark_g,,_blueDark_r,_pinkDark_,_pink_,_blue_,_pinkDark_,_brownDark_g,_pinkDark_,,,_blueDark_g,_pink_
1320,_pink_,_pinkDark_,,_pinkDark_,,,_pink_,_blue_,_pinkDark_,,,,,,_pink_,_blueDark_g,,_pinkDark_,_pinkDark_,_brownDark_r,_pinkDark_,_pink_,_blue_,_pink_,,,_pink_,_pinkDark_
1440,_blueDark_r,_blueDark_g,,_pinkDark_,,,_pinkDark_,_pink_,_pink_,,,,,,_pinkDark_,_pinkDark_,,_pink_,_blueDark_r,_pinkDark_,_pinkDark_,_blue_,_pink_,_blueDark_g,,,_pinkDark_,_pinkDark_
1560,_pink_,_blueDark_g,,_pink_,,,_pinkDark_,_pink_,_pink_,,,,,,_brownDark_g,_pinkDark_,,_pink_,_pinkDark_,_pinkDark_,,_pinkDark_,_pink_,_brownDark_r,,,_pinkDark_,_pink_
1680,_pink_,_pinkDark_,,_blue_,,,_pinkDark_,_pink_,_pinkDark_,,,,,,,_pinkDark_,,_pink_,_pink_,,_pinkDark_,_pink_,_pink_,_pink_,,,,_brownDark_g
1800,_pinkDark_,_pink_,,,,,_pinkDark_,,_pink_,,,,,,_pinkDark_,_pinkDark_,,_pinkDark_,_pinkDark_,,_pinkDark_,_pink_,_pinkDark_,_pink_,,,,_pink_
1920,_pinkDark_,_pinkDark_,,,,,_pinkDark_,_pinkDark_,_pinkDark_,,,,,,_pinkDark_,_pinkDark_,,_pink_,_blueDark_g,,,,_pinkDark_,_pinkDark_,,,,_pink_
2040,_pinkDark_,_pinkDark_,,,,,_pinkDark_,_blueDark_g,_pinkDark_,,,,,,_pinkDark_,_pink_,,_pink_,_brownDark_g,,_pink_,,_pinkDark_,_pinkDark_,,,,_pinkDark_
2160,_pinkDark_,_pinkDark_,,,,,_pink_,_pinkDark_,_pink_,,,,,,_pinkDark_,_pink_,,_pinkDark_,_pinkDark_,,,,_pink_,_brownDark_g,,,,_pinkDark_
2280,_pinkDark_,_blueDark_r,,,,,_pink_,_pink_,_pinkDark_,,,,,,_pinkDark_,_brownDark_r,,_pinkDark_,_pinkDark_,,,,_pinkDark_,_pink_,,,,_pink_
2400,_pink_,_pinkDark_,,,,,_pinkDark_,,_pinkDark_,,,,,,_pinkDark_,_pinkDark_,,anaphase,_pink_,,,,_pinkDark_,_pink_,,,,_pinkDark_
2520,_pinkDark_,_pinkDark_,,,,,_pinkDark_,,_pinkDark_,,,,,,_pink_,_pink_,,,_pinkDark_,,,,_blueDark_r,_pink_,,,,_pink_
2640,_blue_,_blueDark_r,,,,,_pinkDark_,,_pinkDark_,,,,,,_pinkDark_,_blueDark_g,,,_pink_,,,,_pink_,_pinkDark_,,,,_pinkDark_
2760,_blueDark_g,_pink_,,,,,_pinkDark_,,_pinkDark_,,,,,,_pinkDark_,_brownDark_g,,,_pink_,,,,_pinkDark_,_pinkDark_,,,,
2880,_pink_,_pinkDark_,,,,,_pink_,,,,,,,,_pink_,_pink_,,,_pinkDark_,,,,_pinkDark_,_pinkDark_,,,,
3000,_pink_,_brownDark_g,,,,,_pink_,,,,,,,,_blue_,_blueDark_r,,,_pinkDark_,,,,_pink_,_pinkDark_,,,,
3120,_blue_,,,,,,_pinkDark_,,,,,,,,_pinkDark_,_pinkDark_,,,,,,,_pink_,_pinkDark_,,,,
3240,_pinkDark_,,,,,,_pinkDark_,,,,,,,,_pink_,_pinkDark_,,,,,,,_pink_,_pinkDark_,,,,
3360,_pinkDark_,,,,,,_pinkDark_,,,,,,,,_pink_,,,,,,,,_pinkDark_,_pinkDark_,,,,
3480,_pinkDark_,,,,,,_pinkDark_,,,,,,,,_pinkDark_,,,,,,,,_pink_,_pinkDark_,,,,
3600,_brownDark_r,,,,,,_pinkDark_,,,,,,,,_pinkDark_,,,,,,,,,_pinkDark_,,,,
3720,_pinkDark_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
3840,_pinkDark_,,,,,,_pink_,,,,,,,,,,,,,,,,,_blueDark_g,,,,
3960,_pinkDark_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4080,_pinkDark_,,,,,,_pink_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4200,_pink_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4320,_pink_,,,,,,_pink_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4440,_pinkDark_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4560,_pinkDark_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4680,_pinkDark_,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,_pinkDark_,,,,
4800,,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,,,,,
4920,,,,,,,_pink_,,,,,,,,,,,,,,,,,,,,,
5040,,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,,,,,
5160,,,,,,,_pinkDark_,,,,,,,,,,,,,,,,,,,,,
5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,
