time to NEB,1i,1ii,2i,2ii,4i,4ii,5,6,7i,7ii,1,3,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8,3i,3ii,4i,4ii,5i,5ii,6,8,9,10,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7,8,9i,9ii,10i,10ii,10iii,11i,11ii
-4020,,,_blueDark_r,_blueDark_r,_pink_,_blue_,,_blueDark_r,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_pink_,_blue_,,,_blue_,_blue_,,,_pink_,,,,_blue_,_blueDark_r,_blue_,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3960,,,_pink_,_blueDark_r,_blueDark_r,_blue_,,_blueDark_r,,,,,_brownDark_r,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,,,_pink_,,,,_brownDark_r,_blue_,_blue_,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3900,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,_blue_,,,,,_blueDark_r,_blue_,_blue_,_blue_,,,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,,,_blueDark_r,,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3840,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,_blue_,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_brownDark_r,,,_blue_,_blueDark_r,,,_blueDark_r,,,,_blue_,_blue_,_blue_,_blue_,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-3780,,,_blue_,_blue_,_blueDark_r,_blueDark_r,,_blue_,,,,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blueDark_r,,,_blue_,,,,_blue_,_blue_,_blue_,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3720,,,_blue_,_brown_r,_blue_,_blueDark_r,,_blueDark_r,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,_brownDark_r,_brown_r,_blue_,_blueDark_r,_brownDark_r,,,_blueDark_r,_brownDark_r,,,_blueDark_r,,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3660,,,_blueDark_r,_pinkDark_,_blue_,_blueDark_r,,_blue_,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_brown_r,_blue_,_blueDark_r,_blue_,,,_blue_,_blue_,,,_blue_,,,,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3600,,,_blue_,_blue_,_blueDark_g,_blue_,,_blue_,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,,,_blue_,,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3540,,,_blue_,_blueDark_g,_blue_,_blue_,,_blue_,,,,,_blue_,_brownDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,_brownDark_r,_blue_,,,_blueDark_r,,,,_blueDark_g,_blue_,_blue_,_blue_,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-3480,,,_blueDark_r,_blue_,_blue_,_blueDark_r,,_blueDark_r,,,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,_pink_,_brownDark_r,,,_blueDark_r,_blue_,,,_blueDark_r,,,,_brownDark_g,_blueDark_r,_blue_,_blueDark_r,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-3420,,,_blueDark_r,_blue_,_blue_,_blue_,,_blue_,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_pinkDark_,_blue_,,,_blueDark_r,_blue_,,,_blueDark_r,,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,_blueDark_r,,,,,,,,_blue_,_blue_
-3360,,,_pink_,_blue_,_blue_,_blueDark_r,,_blue_,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blueDark_r,,,_blue_,_blue_,,,_blueDark_r,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-3300,,,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,,_blue_,,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_blue_,,,_blue_,,,,_blue_,,_blueDark_g,_blue_,,,,,,_blue_,,,,,,,,_blue_,_blue_
-3240,,,_blue_,_blueDark_r,_blue_,_blue_,,_blueDark_r,,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,_blueDark_r,_blueDark_g,_blue_,_blue_,,,_blue_,_blueDark_r,,,_brownDark_r,,,,_brownDark_g,_blue_,_blueDark_g,_blue_,,,,,,_blue_,,,,,,,,_blueDark_r,_blue_
