time to NEB,1i,1ii,1iii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,1,2i,2ii,3i,3ii,4i,4ii,5,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii,1i,1ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii
-4320,_pink_,_brownDark_r,_blueDark_g,,,_blue_,_blueDark_r,,,_blue_,_blueDark_r,,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4260,_blueDark_g,_brownDark_r,_blue_,,,_blueDark_r,_blue_,,,_blue_,_blue_,,_brownDark_r,_brownDark_r,_blueDark_r,_blue_,,,,_blue_,_brownDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_brown_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blueDark_g,_blue_,_brownDark_r
-4200,_brownDark_r,_blueDark_r,_blue_,,,_blueDark_r,_blue_,,,_blue_,_blue_,,_brownDark_r,_brownDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r
-4140,_pink_,_blueDark_r,_blueDark_r,,,_brownDark_r,_blue_,,,_blue_,_blue_,,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,_pink_,_blue_,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r
-4080,_pink_,_blueDark_r,_blue_,,,_blue_,_blueDark_r,,,_blueDark_r,_blueDark_r,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_g,_brownDark_r,_blueDark_g,_blueDark_g,_blueDark_r,_blue_,_blue_,,,_blue_,_blueDark_g,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,_pink_,_blueDark_r,_blue_,,,_blue_,_blueDark_g,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r
-4020,_pink_,_brownDark_r,_blue_,,,_blueDark_r,_blue_,,,_blue_,_blue_,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_blueDark_g,,,_blue_,_blueDark_g,,,,,,,_blueDark_r,_blue_,_blueDark_g,_blueDark_r,_blue_,_blue_
-3960,_pink_,_brownDark_r,_blue_,,,_blueDark_r,_blue_,,,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,_blueDark_r,_pinkDark_,_blueDark_r,_blue_,,,_blue_,_blueDark_g,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-3900,_pinkDark_,_brownDark_r,_blue_,,,_blue_,_blue_,,,_blue_,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,_brownDark_r,_pinkDark_,_blue_,_blue_,,,_blue_,_blue_,,,,,,,_pink_,_blue_,_blue_,_blue_,_blue_,_blueDark_g
-3840,_brownDark_g,_blueDark_r,_blueDark_r,,,_blueDark_r,_pinkDark_,,,_blue_,_blue_,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_pinkDark_,_blue_,_blue_,,,_blue_,_blue_,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_
-3780,_brownDark_g,_blue_,_blue_,,,_blue_,_blue_,,,_blue_,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_pink_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,_pink_,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blue_,_blueDark_g,,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-3720,_pink_,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,_pink_,_blueDark_r,_blue_,_pink_,_blueDark_r,_blue_,,,_blue_,_blue_,,,,,,,_blue_,_blue_,_blue_,_pink_,_blue_,_blue_
-3660,_pink_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blueDark_g,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,_pink_,_blue_,_blue_,,,_blue_,_blue_,,,,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r
-3600,_brownDark_g,_brownDark_r,_blue_,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_pinkDark_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,,,,,,,_blue_,_blueDark_g,_blue_,_blueDark_g,_blue_,_blue_
-3540,_brownDark_g,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_pink_,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_brownDark_r,_blue_,_pinkDark_,_blue_,_blueDark_r,,,_blue_,_blueDark_g,,,,,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_
-3480,_brownDark_g,_blueDark_r,_blueDark_g,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,_pink_,_blue_,_brownDark_r,,,_blue_,_blue_,,,,,,,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_g
