time to NEB,1,2i,2ii,3i,3ii,4,5i,5ii,2,4,5i,5ii,6,7i,7ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii
-1680,_brownDark_r,_blue_,_pink_,_brownDark_r,_brownDark_r,,_blue_,_blue_,_blueDark_r,_brownDark_g,_blue_,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,_brownDark_g,_blueDark_r,_brownDark_r,_pink_,_blueDark_r,_pink_,_brownDark_r,_pink_,,,_blueDark_r,_pink_
-1620,_brownDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blueDark_g,_blueDark_r,_blue_,_pink_,,_blue_,_blue_,_brownDark_r,_brownDark_r,_brownDark_r,_brownDark_r,_brownDark_r,_brownDark_r,_pink_,_blue_,_brownDark_r,_brownDark_r,_pink_,,,_pinkDark_,_pink_
-1560,_brownDark_r,_blue_,_blue_,_blueDark_r,_brownDark_r,_pink_,_blue_,_blueDark_r,,_blueDark_g,_blue_,_pink_,_blue_,_pink_,_brownDark_r,_pink_,_brownDark_r,_pink_,_pink_,_brownDark_r,_pink_,_blueDark_r,_brownDark_r,,,_pink_,_pink_
-1500,_blue_,_pink_,_blueDark_r,_blueDark_r,_blueDark_g,_blue_,_blue_,_blueDark_r,_pink_,_blueDark_g,_blue_,_brownDark_r,_pink_,_pink_,_pink_,_brownDark_r,_blueDark_r,_blueDark_r,_blueDark_g,_brownDark_r,_pink_,_blueDark_r,_blueDark_r,,,_pink_,_pink_
-1440,_blue_,_blueDark_r,_brownDark_r,_blue_,_pink_,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,_brownDark_r,_brownDark_r,_blueDark_r,_blueDark_r,_pink_,_brownDark_r,_blueDark_r,_pink_,_brownDark_r,,,_blue_,_pinkDark_
-1380,_blue_,_blueDark_g,_brownDark_r,_blueDark_r,_pink_,_blue_,_blue_,_blue_,_pink_,_brownDark_g,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_pink_,_pink_,_blueDark_r,,,_pink_,_pinkDark_
-1320,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_brownDark_g,_blue_,_blue_,,_pink_,_pink_,_blueDark_r,_brownDark_r,_blue_,_pink_,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,_brownDark_r,_blueDark_r,_blueDark_g,_blueDark_r,_blueDark_r,_pink_,_blueDark_g,_brownDark_g,_blueDark_g
-1260,_blueDark_r,_pink_,_blueDark_r,_blue_,_pink_,_blue_,_blueDark_r,_blue_,_pink_,,_pink_,_brownDark_r,_blue_,_pinkDark_,_blueDark_r,_blue_,_pink_,_blueDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_pink_,_blueDark_r,_pink_,_pink_,_pink_,_blue_
-1200,_blue_,_brownDark_r,_pink_,_brownDark_r,_pink_,_pink_,_blueDark_r,_blueDark_r,_pinkDark_,_brownDark_r,_blueDark_r,_pink_,_brownDark_r,_pinkDark_,_pink_,_blue_,_brownDark_r,_blueDark_g,_pink_,_brownDark_r,_blue_,_pink_,_brownDark_r,_blueDark_g,_pink_,_brownDark_r,_brownDark_g
-1140,_pink_,_brownDark_r,_pink_,_brownDark_r,_pink_,_pink_,_blue_,_blue_,_pink_,_blue_,_blueDark_r,_pink_,_blue_,_blueDark_r,_pink_,_blue_,_brownDark_r,_blueDark_g,_blueDark_r,_brownDark_r,_blue_,_pink_,_brownDark_r,_blueDark_g,_blue_,_blue_,_blue_
